Year,Year ending,Offence Division,Offence Subdivision,Relationship of Victim to Offender,Victim Reports
2023,September,A Crimes against the person,A10 Homicide and related offences,Current partner,18
2023,September,A Crimes against the person,A10 Homicide and related offences,Family,22
2023,September,A Crimes against the person,A10 Homicide and related offences,Former partner,5
2023,September,A Crimes against the person,A10 Homicide and related offences,Non family member,37
2023,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,71
2023,September,A Crimes against the person,A20 Assault and related offences,Current partner,"7,260"
2023,September,A Crimes against the person,A20 Assault and related offences,Family,"8,939"
2023,September,A Crimes against the person,A20 Assault and related offences,Former partner,"4,791"
2023,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,177"
2023,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"11,636"
2023,September,A Crimes against the person,A30 Sexual offences,Current partner,774
2023,September,A Crimes against the person,A30 Sexual offences,Family,"1,498"
2023,September,A Crimes against the person,A30 Sexual offences,Former partner,"1,178"
2023,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,623"
2023,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"2,039"
2023,September,A Crimes against the person,A40 Abduction and related offences,Current partner,86
2023,September,A Crimes against the person,A40 Abduction and related offences,Family,18
2023,September,A Crimes against the person,A40 Abduction and related offences,Former partner,79
2023,September,A Crimes against the person,A40 Abduction and related offences,Non family member,74
2023,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,74
2023,September,A Crimes against the person,A50 Robbery,Current partner,8
2023,September,A Crimes against the person,A50 Robbery,Family,13
2023,September,A Crimes against the person,A50 Robbery,Former partner,19
2023,September,A Crimes against the person,A50 Robbery,Non family member,291
2023,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,294"
2023,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2023,September,A Crimes against the person,A60 Blackmail and extortion,Family,8
2023,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,16
2023,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,53
2023,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,219
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,781
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,388"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,781"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,404"
2023,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,"1,004"
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,267
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,215
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,226
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,261
2023,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,087"
2023,September,B Property and deception offences,B10 Arson,Current partner,7
2023,September,B Property and deception offences,B10 Arson,Family,4
2023,September,B Property and deception offences,B10 Arson,Former partner,2
2023,September,B Property and deception offences,B10 Arson,Non family member,5
2023,September,B Property and deception offences,B10 Arson,Not related/ associated,6
2023,September,B Property and deception offences,B20 Property damage,Current partner,"1,144"
2023,September,B Property and deception offences,B20 Property damage,Family,"2,425"
2023,September,B Property and deception offences,B20 Property damage,Former partner,"1,421"
2023,September,B Property and deception offences,B20 Property damage,Non family member,"2,017"
2023,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,514"
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,32
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Family,193
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,256
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,615
2023,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"3,674"
2023,September,B Property and deception offences,B40 Theft,Current partner,82
2023,September,B Property and deception offences,B40 Theft,Family,450
2023,September,B Property and deception offences,B40 Theft,Former partner,336
2023,September,B Property and deception offences,B40 Theft,Non family member,"1,886"
2023,September,B Property and deception offences,B40 Theft,Not related/ associated,"10,802"
2023,September,B Property and deception offences,B50 Deception,Current partner,24
2023,September,B Property and deception offences,B50 Deception,Family,121
2023,September,B Property and deception offences,B50 Deception,Former partner,100
2023,September,B Property and deception offences,B50 Deception,Non family member,455
2023,September,B Property and deception offences,B50 Deception,Not related/ associated,"3,629"
2022,September,A Crimes against the person,A10 Homicide and related offences,Current partner,7
2022,September,A Crimes against the person,A10 Homicide and related offences,Family,25
2022,September,A Crimes against the person,A10 Homicide and related offences,Former partner,4
2022,September,A Crimes against the person,A10 Homicide and related offences,Non family member,39
2022,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,67
2022,September,A Crimes against the person,A20 Assault and related offences,Current partner,"7,717"
2022,September,A Crimes against the person,A20 Assault and related offences,Family,"9,086"
2022,September,A Crimes against the person,A20 Assault and related offences,Former partner,"4,489"
2022,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,264"
2022,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,996"
2022,September,A Crimes against the person,A30 Sexual offences,Current partner,905
2022,September,A Crimes against the person,A30 Sexual offences,Family,"1,613"
2022,September,A Crimes against the person,A30 Sexual offences,Former partner,989
2022,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,829"
2022,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,810"
2022,September,A Crimes against the person,A40 Abduction and related offences,Current partner,105
2022,September,A Crimes against the person,A40 Abduction and related offences,Family,50
2022,September,A Crimes against the person,A40 Abduction and related offences,Former partner,93
2022,September,A Crimes against the person,A40 Abduction and related offences,Non family member,80
2022,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,62
2022,September,A Crimes against the person,A50 Robbery,Current partner,4
2022,September,A Crimes against the person,A50 Robbery,Family,16
2022,September,A Crimes against the person,A50 Robbery,Former partner,9
2022,September,A Crimes against the person,A50 Robbery,Non family member,292
2022,September,A Crimes against the person,A50 Robbery,Not related/ associated,990
2022,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2022,September,A Crimes against the person,A60 Blackmail and extortion,Family,8
2022,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,18
2022,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,49
2022,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,127
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,854
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,435"
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,872"
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,433"
2022,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,945
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,328
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,239
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,194
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,267
2022,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,963
2022,September,B Property and deception offences,B10 Arson,Current partner,2
2022,September,B Property and deception offences,B10 Arson,Family,7
2022,September,B Property and deception offences,B10 Arson,Former partner,9
2022,September,B Property and deception offences,B10 Arson,Non family member,2
2022,September,B Property and deception offences,B10 Arson,Not related/ associated,10
2022,September,B Property and deception offences,B20 Property damage,Current partner,"1,358"
2022,September,B Property and deception offences,B20 Property damage,Family,"2,450"
2022,September,B Property and deception offences,B20 Property damage,Former partner,"1,403"
2022,September,B Property and deception offences,B20 Property damage,Non family member,"2,110"
2022,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,114"
2022,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,46
2022,September,B Property and deception offences,B30 Burglary/Break and enter,Family,157
2022,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,261
2022,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,597
2022,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"2,912"
2022,September,B Property and deception offences,B40 Theft,Current partner,108
2022,September,B Property and deception offences,B40 Theft,Family,449
2022,September,B Property and deception offences,B40 Theft,Former partner,294
2022,September,B Property and deception offences,B40 Theft,Non family member,"1,902"
2022,September,B Property and deception offences,B40 Theft,Not related/ associated,"9,360"
2022,September,B Property and deception offences,B50 Deception,Current partner,30
2022,September,B Property and deception offences,B50 Deception,Family,119
2022,September,B Property and deception offences,B50 Deception,Former partner,92
2022,September,B Property and deception offences,B50 Deception,Non family member,375
2022,September,B Property and deception offences,B50 Deception,Not related/ associated,"2,863"
2021,September,A Crimes against the person,A10 Homicide and related offences,Current partner,15
2021,September,A Crimes against the person,A10 Homicide and related offences,Family,26
2021,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2021,September,A Crimes against the person,A10 Homicide and related offences,Non family member,47
2021,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,60
2021,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,184"
2021,September,A Crimes against the person,A20 Assault and related offences,Family,"9,004"
2021,September,A Crimes against the person,A20 Assault and related offences,Former partner,"4,227"
2021,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,859"
2021,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,438"
2021,September,A Crimes against the person,A30 Sexual offences,Current partner,937
2021,September,A Crimes against the person,A30 Sexual offences,Family,"1,685"
2021,September,A Crimes against the person,A30 Sexual offences,Former partner,950
2021,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,928"
2021,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,640"
2021,September,A Crimes against the person,A40 Abduction and related offences,Current partner,112
2021,September,A Crimes against the person,A40 Abduction and related offences,Family,44
2021,September,A Crimes against the person,A40 Abduction and related offences,Former partner,114
2021,September,A Crimes against the person,A40 Abduction and related offences,Non family member,83
2021,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,71
2021,September,A Crimes against the person,A50 Robbery,Current partner,8
2021,September,A Crimes against the person,A50 Robbery,Family,18
2021,September,A Crimes against the person,A50 Robbery,Former partner,20
2021,September,A Crimes against the person,A50 Robbery,Non family member,271
2021,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,029"
2021,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,4
2021,September,A Crimes against the person,A60 Blackmail and extortion,Family,8
2021,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,10
2021,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,41
2021,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,37
2021,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,934
2021,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,514"
2021,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,829"
2021,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,668"
2021,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,"1,031"
2021,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,316
2021,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,222
2021,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,189
2021,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,323
2021,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,843
2021,September,B Property and deception offences,B10 Arson,Current partner,7
2021,September,B Property and deception offences,B10 Arson,Family,5
2021,September,B Property and deception offences,B10 Arson,Former partner,2
2021,September,B Property and deception offences,B10 Arson,Non family member,2
2021,September,B Property and deception offences,B10 Arson,Not related/ associated,14
2021,September,B Property and deception offences,B20 Property damage,Current partner,"1,400"
2021,September,B Property and deception offences,B20 Property damage,Family,"2,387"
2021,September,B Property and deception offences,B20 Property damage,Former partner,"1,407"
2021,September,B Property and deception offences,B20 Property damage,Non family member,"2,106"
2021,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,231"
2021,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,50
2021,September,B Property and deception offences,B30 Burglary/Break and enter,Family,180
2021,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,302
2021,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,645
2021,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"2,998"
2021,September,B Property and deception offences,B40 Theft,Current partner,119
2021,September,B Property and deception offences,B40 Theft,Family,499
2021,September,B Property and deception offences,B40 Theft,Former partner,338
2021,September,B Property and deception offences,B40 Theft,Non family member,"1,931"
2021,September,B Property and deception offences,B40 Theft,Not related/ associated,"10,078"
2021,September,B Property and deception offences,B50 Deception,Current partner,26
2021,September,B Property and deception offences,B50 Deception,Family,125
2021,September,B Property and deception offences,B50 Deception,Former partner,114
2021,September,B Property and deception offences,B50 Deception,Non family member,289
2021,September,B Property and deception offences,B50 Deception,Not related/ associated,"3,295"
2020,September,A Crimes against the person,A10 Homicide and related offences,Current partner,12
2020,September,A Crimes against the person,A10 Homicide and related offences,Family,21
2020,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2020,September,A Crimes against the person,A10 Homicide and related offences,Non family member,40
2020,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,88
2020,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,608"
2020,September,A Crimes against the person,A20 Assault and related offences,Family,"8,734"
2020,September,A Crimes against the person,A20 Assault and related offences,Former partner,"4,043"
2020,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,587"
2020,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"9,951"
2020,September,A Crimes against the person,A30 Sexual offences,Current partner,856
2020,September,A Crimes against the person,A30 Sexual offences,Family,"1,690"
2020,September,A Crimes against the person,A30 Sexual offences,Former partner,772
2020,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,841"
2020,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,539"
2020,September,A Crimes against the person,A40 Abduction and related offences,Current partner,115
2020,September,A Crimes against the person,A40 Abduction and related offences,Family,47
2020,September,A Crimes against the person,A40 Abduction and related offences,Former partner,91
2020,September,A Crimes against the person,A40 Abduction and related offences,Non family member,90
2020,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,82
2020,September,A Crimes against the person,A50 Robbery,Current partner,13
2020,September,A Crimes against the person,A50 Robbery,Family,12
2020,September,A Crimes against the person,A50 Robbery,Former partner,25
2020,September,A Crimes against the person,A50 Robbery,Non family member,295
2020,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,390"
2020,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2020,September,A Crimes against the person,A60 Blackmail and extortion,Family,11
2020,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,2
2020,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,33
2020,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,33
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,993
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,454"
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,745"
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,459"
2020,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,944
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,293
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,243
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,164
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,244
2020,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,936
2020,September,B Property and deception offences,B10 Arson,Current partner,7
2020,September,B Property and deception offences,B10 Arson,Family,5
2020,September,B Property and deception offences,B10 Arson,Former partner,4
2020,September,B Property and deception offences,B10 Arson,Non family member,2
2020,September,B Property and deception offences,B10 Arson,Not related/ associated,5
2020,September,B Property and deception offences,B20 Property damage,Current partner,"1,484"
2020,September,B Property and deception offences,B20 Property damage,Family,"2,492"
2020,September,B Property and deception offences,B20 Property damage,Former partner,"1,281"
2020,September,B Property and deception offences,B20 Property damage,Non family member,"2,014"
2020,September,B Property and deception offences,B20 Property damage,Not related/ associated,"2,976"
2020,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,55
2020,September,B Property and deception offences,B30 Burglary/Break and enter,Family,182
2020,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,286
2020,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,650
2020,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"3,184"
2020,September,B Property and deception offences,B40 Theft,Current partner,145
2020,September,B Property and deception offences,B40 Theft,Family,431
2020,September,B Property and deception offences,B40 Theft,Former partner,315
2020,September,B Property and deception offences,B40 Theft,Non family member,"1,948"
2020,September,B Property and deception offences,B40 Theft,Not related/ associated,"11,286"
2020,September,B Property and deception offences,B50 Deception,Current partner,18
2020,September,B Property and deception offences,B50 Deception,Family,119
2020,September,B Property and deception offences,B50 Deception,Former partner,90
2020,September,B Property and deception offences,B50 Deception,Non family member,338
2020,September,B Property and deception offences,B50 Deception,Not related/ associated,"3,226"
2019,September,A Crimes against the person,A10 Homicide and related offences,Current partner,28
2019,September,A Crimes against the person,A10 Homicide and related offences,Family,19
2019,September,A Crimes against the person,A10 Homicide and related offences,Former partner,4
2019,September,A Crimes against the person,A10 Homicide and related offences,Non family member,48
2019,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,55
2019,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,646"
2019,September,A Crimes against the person,A20 Assault and related offences,Family,"8,370"
2019,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,799"
2019,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,929"
2019,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,412"
2019,September,A Crimes against the person,A30 Sexual offences,Current partner,855
2019,September,A Crimes against the person,A30 Sexual offences,Family,"1,704"
2019,September,A Crimes against the person,A30 Sexual offences,Former partner,605
2019,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,957"
2019,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,773"
2019,September,A Crimes against the person,A40 Abduction and related offences,Current partner,125
2019,September,A Crimes against the person,A40 Abduction and related offences,Family,34
2019,September,A Crimes against the person,A40 Abduction and related offences,Former partner,100
2019,September,A Crimes against the person,A40 Abduction and related offences,Non family member,74
2019,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,83
2019,September,A Crimes against the person,A50 Robbery,Current partner,13
2019,September,A Crimes against the person,A50 Robbery,Family,13
2019,September,A Crimes against the person,A50 Robbery,Former partner,15
2019,September,A Crimes against the person,A50 Robbery,Non family member,338
2019,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,613"
2019,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,5
2019,September,A Crimes against the person,A60 Blackmail and extortion,Family,12
2019,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,10
2019,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,41
2019,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,36
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,"1,091"
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,398"
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,526"
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,481"
2019,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,926
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,222
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,229
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,128
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,299
2019,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,018"
2019,September,B Property and deception offences,B10 Arson,Current partner,10
2019,September,B Property and deception offences,B10 Arson,Family,2
2019,September,B Property and deception offences,B10 Arson,Former partner,2
2019,September,B Property and deception offences,B10 Arson,Non family member,11
2019,September,B Property and deception offences,B10 Arson,Not related/ associated,18
2019,September,B Property and deception offences,B20 Property damage,Current partner,"1,526"
2019,September,B Property and deception offences,B20 Property damage,Family,"2,387"
2019,September,B Property and deception offences,B20 Property damage,Former partner,"1,139"
2019,September,B Property and deception offences,B20 Property damage,Non family member,"1,768"
2019,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,371"
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,64
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Family,187
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,256
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,596
2019,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"4,032"
2019,September,B Property and deception offences,B40 Theft,Current partner,139
2019,September,B Property and deception offences,B40 Theft,Family,519
2019,September,B Property and deception offences,B40 Theft,Former partner,264
2019,September,B Property and deception offences,B40 Theft,Non family member,"1,794"
2019,September,B Property and deception offences,B40 Theft,Not related/ associated,"15,987"
2019,September,B Property and deception offences,B50 Deception,Current partner,23
2019,September,B Property and deception offences,B50 Deception,Family,115
2019,September,B Property and deception offences,B50 Deception,Former partner,64
2019,September,B Property and deception offences,B50 Deception,Non family member,403
