Year,Year ending,Offence Division,Offence Subdivision,Relationship of Victim to Offender,Victim Reports
2019,September,B Property and deception offences,B50 Deception,Not related/ associated,"2,434"
2018,September,A Crimes against the person,A10 Homicide and related offences,Current partner,20
2018,September,A Crimes against the person,A10 Homicide and related offences,Family,14
2018,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2018,September,A Crimes against the person,A10 Homicide and related offences,Non family member,44
2018,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,93
2018,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,202"
2018,September,A Crimes against the person,A20 Assault and related offences,Family,"8,200"
2018,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,200"
2018,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,394"
2018,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,659"
2018,September,A Crimes against the person,A30 Sexual offences,Current partner,756
2018,September,A Crimes against the person,A30 Sexual offences,Family,"1,716"
2018,September,A Crimes against the person,A30 Sexual offences,Former partner,462
2018,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,886"
2018,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,934"
2018,September,A Crimes against the person,A40 Abduction and related offences,Current partner,107
2018,September,A Crimes against the person,A40 Abduction and related offences,Family,41
2018,September,A Crimes against the person,A40 Abduction and related offences,Former partner,75
2018,September,A Crimes against the person,A40 Abduction and related offences,Non family member,80
2018,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,81
2018,September,A Crimes against the person,A50 Robbery,Current partner,6
2018,September,A Crimes against the person,A50 Robbery,Family,21
2018,September,A Crimes against the person,A50 Robbery,Former partner,13
2018,September,A Crimes against the person,A50 Robbery,Non family member,271
2018,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,214"
2018,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,5
2018,September,A Crimes against the person,A60 Blackmail and extortion,Family,4
2018,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,8
2018,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,45
2018,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,27
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,996
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,263"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,489"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,279"
2018,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,947
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,171
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,226
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,126
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,309
2018,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,123"
2018,September,B Property and deception offences,B10 Arson,Current partner,6
2018,September,B Property and deception offences,B10 Arson,Family,2
2018,September,B Property and deception offences,B10 Arson,Former partner,6
2018,September,B Property and deception offences,B10 Arson,Non family member,7
2018,September,B Property and deception offences,B10 Arson,Not related/ associated,28
2018,September,B Property and deception offences,B20 Property damage,Current partner,"1,574"
2018,September,B Property and deception offences,B20 Property damage,Family,"2,216"
2018,September,B Property and deception offences,B20 Property damage,Former partner,"1,061"
2018,September,B Property and deception offences,B20 Property damage,Non family member,"1,529"
2018,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,553"
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,60
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Family,182
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,220
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,491
2018,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"4,473"
2018,September,B Property and deception offences,B40 Theft,Current partner,112
2018,September,B Property and deception offences,B40 Theft,Family,489
2018,September,B Property and deception offences,B40 Theft,Former partner,235
2018,September,B Property and deception offences,B40 Theft,Non family member,"1,410"
2018,September,B Property and deception offences,B40 Theft,Not related/ associated,"17,299"
2018,September,B Property and deception offences,B50 Deception,Current partner,31
2018,September,B Property and deception offences,B50 Deception,Family,103
2018,September,B Property and deception offences,B50 Deception,Former partner,66
2018,September,B Property and deception offences,B50 Deception,Non family member,357
2018,September,B Property and deception offences,B50 Deception,Not related/ associated,"2,026"
2017,September,A Crimes against the person,A10 Homicide and related offences,Current partner,20
2017,September,A Crimes against the person,A10 Homicide and related offences,Family,21
2017,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2017,September,A Crimes against the person,A10 Homicide and related offences,Non family member,50
2017,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,106
2017,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,258"
2017,September,A Crimes against the person,A20 Assault and related offences,Family,"8,527"
2017,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,167"
2017,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,656"
2017,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"9,987"
2017,September,A Crimes against the person,A30 Sexual offences,Current partner,730
2017,September,A Crimes against the person,A30 Sexual offences,Family,"1,784"
2017,September,A Crimes against the person,A30 Sexual offences,Former partner,390
2017,September,A Crimes against the person,A30 Sexual offences,Non family member,"3,126"
2017,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,584"
2017,September,A Crimes against the person,A40 Abduction and related offences,Current partner,121
2017,September,A Crimes against the person,A40 Abduction and related offences,Family,38
2017,September,A Crimes against the person,A40 Abduction and related offences,Former partner,76
2017,September,A Crimes against the person,A40 Abduction and related offences,Non family member,86
2017,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,75
2017,September,A Crimes against the person,A50 Robbery,Current partner,6
2017,September,A Crimes against the person,A50 Robbery,Family,16
2017,September,A Crimes against the person,A50 Robbery,Former partner,13
2017,September,A Crimes against the person,A50 Robbery,Non family member,258
2017,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,195"
2017,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,4
2017,September,A Crimes against the person,A60 Blackmail and extortion,Family,4
2017,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,10
2017,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,40
2017,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,28
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,"1,092"
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,289"
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,420"
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,348"
2017,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,884
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,150
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,213
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,110
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,315
2017,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,216"
2017,September,B Property and deception offences,B10 Arson,Current partner,6
2017,September,B Property and deception offences,B10 Arson,Family,5
2017,September,B Property and deception offences,B10 Arson,Former partner,5
2017,September,B Property and deception offences,B10 Arson,Non family member,10
2017,September,B Property and deception offences,B10 Arson,Not related/ associated,33
2017,September,B Property and deception offences,B20 Property damage,Current partner,"1,579"
2017,September,B Property and deception offences,B20 Property damage,Family,"2,229"
2017,September,B Property and deception offences,B20 Property damage,Former partner,"1,098"
2017,September,B Property and deception offences,B20 Property damage,Non family member,"1,507"
2017,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,685"
2017,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,74
2017,September,B Property and deception offences,B30 Burglary/Break and enter,Family,151
2017,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,180
2017,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,570
2017,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"5,232"
2017,September,B Property and deception offences,B40 Theft,Current partner,119
2017,September,B Property and deception offences,B40 Theft,Family,478
2017,September,B Property and deception offences,B40 Theft,Former partner,226
2017,September,B Property and deception offences,B40 Theft,Non family member,"1,394"
2017,September,B Property and deception offences,B40 Theft,Not related/ associated,"17,924"
2017,September,B Property and deception offences,B50 Deception,Current partner,15
2017,September,B Property and deception offences,B50 Deception,Family,88
2017,September,B Property and deception offences,B50 Deception,Former partner,54
2017,September,B Property and deception offences,B50 Deception,Non family member,284
2017,September,B Property and deception offences,B50 Deception,Not related/ associated,"1,404"
2016,September,A Crimes against the person,A10 Homicide and related offences,Current partner,20
2016,September,A Crimes against the person,A10 Homicide and related offences,Family,24
2016,September,A Crimes against the person,A10 Homicide and related offences,Former partner,2
2016,September,A Crimes against the person,A10 Homicide and related offences,Non family member,40
2016,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,59
2016,September,A Crimes against the person,A20 Assault and related offences,Current partner,"8,277"
2016,September,A Crimes against the person,A20 Assault and related offences,Family,"8,803"
2016,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,343"
2016,September,A Crimes against the person,A20 Assault and related offences,Non family member,"5,927"
2016,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"10,148"
2016,September,A Crimes against the person,A30 Sexual offences,Current partner,673
2016,September,A Crimes against the person,A30 Sexual offences,Family,"1,772"
2016,September,A Crimes against the person,A30 Sexual offences,Former partner,331
2016,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,480"
2016,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,503"
2016,September,A Crimes against the person,A40 Abduction and related offences,Current partner,128
2016,September,A Crimes against the person,A40 Abduction and related offences,Family,43
2016,September,A Crimes against the person,A40 Abduction and related offences,Former partner,78
2016,September,A Crimes against the person,A40 Abduction and related offences,Non family member,78
2016,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,124
2016,September,A Crimes against the person,A50 Robbery,Current partner,8
2016,September,A Crimes against the person,A50 Robbery,Family,9
2016,September,A Crimes against the person,A50 Robbery,Former partner,24
2016,September,A Crimes against the person,A50 Robbery,Non family member,199
2016,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,333"
2016,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2016,September,A Crimes against the person,A60 Blackmail and extortion,Family,8
2016,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,8
2016,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,39
2016,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,28
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,"1,053"
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,272"
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,441"
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,316"
2016,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,972
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,139
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,214
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,128
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,289
2016,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,"1,171"
2016,September,B Property and deception offences,B10 Arson,Current partner,14
2016,September,B Property and deception offences,B10 Arson,Family,14
2016,September,B Property and deception offences,B10 Arson,Former partner,5
2016,September,B Property and deception offences,B10 Arson,Non family member,29
2016,September,B Property and deception offences,B10 Arson,Not related/ associated,91
2016,September,B Property and deception offences,B20 Property damage,Current partner,"1,251"
2016,September,B Property and deception offences,B20 Property damage,Family,"1,830"
2016,September,B Property and deception offences,B20 Property damage,Former partner,921
2016,September,B Property and deception offences,B20 Property damage,Non family member,"1,484"
2016,September,B Property and deception offences,B20 Property damage,Not related/ associated,"3,146"
2016,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,81
2016,September,B Property and deception offences,B30 Burglary/Break and enter,Family,186
2016,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,205
2016,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,576
2016,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"4,673"
2016,September,B Property and deception offences,B40 Theft,Current partner,113
2016,September,B Property and deception offences,B40 Theft,Family,409
2016,September,B Property and deception offences,B40 Theft,Former partner,186
2016,September,B Property and deception offences,B40 Theft,Non family member,"1,343"
2016,September,B Property and deception offences,B40 Theft,Not related/ associated,"15,220"
2016,September,B Property and deception offences,B50 Deception,Current partner,12
2016,September,B Property and deception offences,B50 Deception,Family,53
2016,September,B Property and deception offences,B50 Deception,Former partner,34
2016,September,B Property and deception offences,B50 Deception,Non family member,232
2016,September,B Property and deception offences,B50 Deception,Not related/ associated,"1,153"
2015,September,A Crimes against the person,A10 Homicide and related offences,Current partner,14
2015,September,A Crimes against the person,A10 Homicide and related offences,Family,23
2015,September,A Crimes against the person,A10 Homicide and related offences,Former partner,4
2015,September,A Crimes against the person,A10 Homicide and related offences,Non family member,44
2015,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,48
2015,September,A Crimes against the person,A20 Assault and related offences,Current partner,"7,126"
2015,September,A Crimes against the person,A20 Assault and related offences,Family,"6,773"
2015,September,A Crimes against the person,A20 Assault and related offences,Former partner,"3,039"
2015,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,215"
2015,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"8,835"
2015,September,A Crimes against the person,A30 Sexual offences,Current partner,490
2015,September,A Crimes against the person,A30 Sexual offences,Family,"1,351"
2015,September,A Crimes against the person,A30 Sexual offences,Former partner,255
2015,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,553"
2015,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,089"
2015,September,A Crimes against the person,A40 Abduction and related offences,Current partner,90
2015,September,A Crimes against the person,A40 Abduction and related offences,Family,27
2015,September,A Crimes against the person,A40 Abduction and related offences,Former partner,60
2015,September,A Crimes against the person,A40 Abduction and related offences,Non family member,103
2015,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,101
2015,September,A Crimes against the person,A50 Robbery,Current partner,11
2015,September,A Crimes against the person,A50 Robbery,Family,10
2015,September,A Crimes against the person,A50 Robbery,Former partner,6
2015,September,A Crimes against the person,A50 Robbery,Non family member,223
2015,September,A Crimes against the person,A50 Robbery,Not related/ associated,910
2015,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2015,September,A Crimes against the person,A60 Blackmail and extortion,Family,10
2015,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,5
2015,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,50
2015,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,27
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,807
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,"1,096"
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,139"
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,437"
2015,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,781
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,155
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,141
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,80
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,274
2015,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,740
2015,September,B Property and deception offences,B10 Arson,Current partner,8
2015,September,B Property and deception offences,B10 Arson,Family,14
2015,September,B Property and deception offences,B10 Arson,Former partner,8
2015,September,B Property and deception offences,B10 Arson,Non family member,22
2015,September,B Property and deception offences,B10 Arson,Not related/ associated,24
2015,September,B Property and deception offences,B20 Property damage,Current partner,724
2015,September,B Property and deception offences,B20 Property damage,Family,"1,189"
2015,September,B Property and deception offences,B20 Property damage,Former partner,677
2015,September,B Property and deception offences,B20 Property damage,Non family member,"1,451"
2015,September,B Property and deception offences,B20 Property damage,Not related/ associated,"2,229"
2015,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,43
2015,September,B Property and deception offences,B30 Burglary/Break and enter,Family,164
2015,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,189
2015,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,516
2015,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"2,686"
2015,September,B Property and deception offences,B40 Theft,Current partner,60
2015,September,B Property and deception offences,B40 Theft,Family,238
2015,September,B Property and deception offences,B40 Theft,Former partner,136
2015,September,B Property and deception offences,B40 Theft,Non family member,"1,262"
2015,September,B Property and deception offences,B40 Theft,Not related/ associated,"7,747"
2015,September,B Property and deception offences,B50 Deception,Current partner,4
2015,September,B Property and deception offences,B50 Deception,Family,48
2015,September,B Property and deception offences,B50 Deception,Former partner,25
2015,September,B Property and deception offences,B50 Deception,Non family member,214
2015,September,B Property and deception offences,B50 Deception,Not related/ associated,679
2014,September,A Crimes against the person,A10 Homicide and related offences,Current partner,19
2014,September,A Crimes against the person,A10 Homicide and related offences,Family,25
2014,September,A Crimes against the person,A10 Homicide and related offences,Former partner,4
2014,September,A Crimes against the person,A10 Homicide and related offences,Non family member,43
2014,September,A Crimes against the person,A10 Homicide and related offences,Not related/ associated,62
2014,September,A Crimes against the person,A20 Assault and related offences,Current partner,"6,997"
2014,September,A Crimes against the person,A20 Assault and related offences,Family,"6,338"
2014,September,A Crimes against the person,A20 Assault and related offences,Former partner,"2,840"
2014,September,A Crimes against the person,A20 Assault and related offences,Non family member,"6,819"
2014,September,A Crimes against the person,A20 Assault and related offences,Not related/ associated,"8,641"
2014,September,A Crimes against the person,A30 Sexual offences,Current partner,380
2014,September,A Crimes against the person,A30 Sexual offences,Family,"1,152"
2014,September,A Crimes against the person,A30 Sexual offences,Former partner,218
2014,September,A Crimes against the person,A30 Sexual offences,Non family member,"2,397"
2014,September,A Crimes against the person,A30 Sexual offences,Not related/ associated,"1,002"
2014,September,A Crimes against the person,A40 Abduction and related offences,Current partner,72
2014,September,A Crimes against the person,A40 Abduction and related offences,Family,25
2014,September,A Crimes against the person,A40 Abduction and related offences,Former partner,37
2014,September,A Crimes against the person,A40 Abduction and related offences,Non family member,86
2014,September,A Crimes against the person,A40 Abduction and related offences,Not related/ associated,88
2014,September,A Crimes against the person,A50 Robbery,Current partner,4
2014,September,A Crimes against the person,A50 Robbery,Family,16
2014,September,A Crimes against the person,A50 Robbery,Former partner,17
2014,September,A Crimes against the person,A50 Robbery,Non family member,210
2014,September,A Crimes against the person,A50 Robbery,Not related/ associated,"1,008"
2014,September,A Crimes against the person,A60 Blackmail and extortion,Current partner,2
2014,September,A Crimes against the person,A60 Blackmail and extortion,Family,6
2014,September,A Crimes against the person,A60 Blackmail and extortion,Former partner,2
2014,September,A Crimes against the person,A60 Blackmail and extortion,Non family member,43
2014,September,A Crimes against the person,A60 Blackmail and extortion,Not related/ associated,23
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Current partner,806
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Family,948
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Former partner,"1,219"
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Non family member,"1,484"
2014,September,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",Not related/ associated,662
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Current partner,130
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Family,185
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Former partner,93
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Non family member,300
2014,September,A Crimes against the person,A80 Dangerous and negligent acts endangering people,Not related/ associated,803
2014,September,B Property and deception offences,B10 Arson,Current partner,11
2014,September,B Property and deception offences,B10 Arson,Family,9
2014,September,B Property and deception offences,B10 Arson,Former partner,2
2014,September,B Property and deception offences,B10 Arson,Non family member,12
2014,September,B Property and deception offences,B10 Arson,Not related/ associated,16
2014,September,B Property and deception offences,B20 Property damage,Current partner,672
2014,September,B Property and deception offences,B20 Property damage,Family,"1,056"
2014,September,B Property and deception offences,B20 Property damage,Former partner,668
2014,September,B Property and deception offences,B20 Property damage,Non family member,"1,396"
2014,September,B Property and deception offences,B20 Property damage,Not related/ associated,"2,380"
2014,September,B Property and deception offences,B30 Burglary/Break and enter,Current partner,45
2014,September,B Property and deception offences,B30 Burglary/Break and enter,Family,144
2014,September,B Property and deception offences,B30 Burglary/Break and enter,Former partner,191
2014,September,B Property and deception offences,B30 Burglary/Break and enter,Non family member,636
2014,September,B Property and deception offences,B30 Burglary/Break and enter,Not related/ associated,"2,598"
2014,September,B Property and deception offences,B40 Theft,Current partner,42
2014,September,B Property and deception offences,B40 Theft,Family,271
2014,September,B Property and deception offences,B40 Theft,Former partner,109
2014,September,B Property and deception offences,B40 Theft,Non family member,"1,272"
2014,September,B Property and deception offences,B40 Theft,Not related/ associated,"7,518"
2014,September,B Property and deception offences,B50 Deception,Current partner,8
2014,September,B Property and deception offences,B50 Deception,Family,43
2014,September,B Property and deception offences,B50 Deception,Former partner,24
2014,September,B Property and deception offences,B50 Deception,Non family member,200
2014,September,B Property and deception offences,B50 Deception,Not related/ associated,479
